variable	lemma	communality	uniqueness	status
v000263	way	0.1138365328	0.8861634672	exclude
v000250	tube	0.1147690162	0.8852309838	exclude
v000059	dish	0.1177286480	0.8822713520	exclude
v000137	make	0.1191268696	0.8808731304	exclude
v000150	mother	0.1215656821	0.8784343179	exclude
v000080	fine	0.1222962405	0.8777037595	exclude
v000065	eat	0.1223899047	0.8776100953	exclude
v000064	easy	0.1244580767	0.8755419233	exclude
v000134	lose	0.1247731905	0.8752268095	exclude
v000239	television	0.1278866259	0.8721133741	exclude
v000095	give	0.1291524096	0.8708475904	exclude
v000037	clothe	0.1308396691	0.8691603309	exclude
v000267	white	0.1357150272	0.8642849728	exclude
v000200	screen	0.1368883076	0.8631116924	exclude
v000081	fit	0.1395861632	0.8604138368	exclude
v000036	close	0.1425081305	0.8574918695	exclude
v000123	lady	0.1446132656	0.8553867344	exclude
v000020	bright	0.1452226389	0.8547773611	exclude
v000076	famous	0.1487351638	0.8512648362	exclude
v000183	quality	0.1499872718	0.8500127282	exclude
v000268	wide	0.1519893712	0.8480106288	retain
v000094	girl	0.1533053099	0.8466946901	retain
v000098	golden	0.1573638563	0.8426361437	retain
v000093	gift	0.1594786767	0.8405213233	retain
v000272	wonderful	0.1659799248	0.8340200752	retain
v000079	field	0.1667382659	0.8332617341	retain
v000219	sound	0.1679697327	0.8320302673	retain
v000180	price	0.1783592470	0.8216407530	retain
v000190	remember	0.1811220155	0.8188779845	retain
v000210	set	0.1829725794	0.8170274206	retain
v000266	weight	0.1872982898	0.8127017102	retain
v000204	see	0.1992357688	0.8007642312	retain
v000027	car	0.1994844325	0.8005155675	retain
v000175	precision	0.2024256070	0.7975743930	retain
v000054	delicate	0.2027983612	0.7972016388	retain
v000058	dirty	0.2042994081	0.7957005919	retain
v000195	rubber	0.2102717720	0.7897282280	retain
v000202	seat	0.2124326046	0.7875673954	retain
v000227	styling	0.2144356224	0.7855643776	retain
v000034	class	0.2144608908	0.7855391092	retain
v000035	clean	0.2229444748	0.7770555252	retain
v000259	wash	0.2581913277	0.7418086723	retain
v000052	dealer	0.2659734625	0.7340265375	retain
v000147	model	0.2705658494	0.7294341506	retain
v000174	portable	0.2752000799	0.7247999201	retain
v000185	radio	0.2821351476	0.7178648524	retain
v000011	beauty	0.3078275603	0.6921724397	retain
v000228	sud	0.3085143045	0.6914856955	retain
v000056	detergent	0.3381195542	0.6618804458	retain
v000135	lovely	0.3901918825	0.6098081175	retain
v000255	victor	0.5478564459	0.4521435541	retain
v000186	rca	0.6413366702	0.3586633298	retain
